Age Group,Category,Code,Sex,Year,Population (#),Population (#) - Female,Population (#) - Male
35 to 39,Population,LUX,Male,1/1/2014,0M,,21055.092119495
50 to 54,Population,ERI,Female,1/1/2012,0M,78859.385515273,
45 to 49,Population,SYC,Female,1/1/2011,0M,3378.721157686,
75 to 79,Population,FIN,Male,1/1/2008,0M,,73655.903132334
80 plus,Population,SAU,Female,1/1/2015,0M,59856.291145268,
5 to 9,Population,GTM,Male,1/1/2012,1M,,909512.967515439
80 plus,Population,MAR,Male,1/1/2012,0M,,174068.99006618
70 to 74,Population,BWA,Female,1/1/2010,0M,12369.507260625,
50 to 54,Population,LTU,Male,1/1/2011,0M,,108915.918735521
40 to 44,Population,LBY,Male,1/1/2016,0M,,273543.170700988
70 to 74,Population,JOR,Male,1/1/2014,0M,,49877.984797679
5 to 9,Population,MNG,Male,1/1/2011,0M,,118005.987098419
65 to 69,Population,MOZ,Male,1/1/2010,0M,,114220.16059217
75 to 79,Population,NGA,Male,1/1/2010,0M,,473309.35526543
40 to 44,Population,MHL,Male,1/1/2013,0M,,1561.880680924
70 to 74,Population,ATG,Male,1/1/2014,0M,,837.618945417
60 to 64,Population,BLZ,Female,1/1/2009,0M,2754.878723646,
65 to 69,Population,MHL,Male,1/1/2009,0M,,286.353213958
60 to 64,Population,SLB,Female,1/1/2010,0M,4569.259271600,
80 plus,Population,MUS,Male,1/1/2010,0M,,7241.522331516
5 to 9,Population,IRQ,Female,1/1/2009,2M,2213647.65841684,
35 to 39,Population,STP,Female,1/1/2009,0M,4546.356796309,
35 to 39,Population,GRD,Male,1/1/2017,0M,,3126.466921634
80 plus,Population,ZWE,Female,1/1/2014,0M,31582.119482312,
10 to 14,Population,AUT,Female,1/1/2009,0M,219105.05732977,
70 to 74,Population,MLI,Female,1/1/2015,0M,73742.854772383,
65 to 69,Population,BGD,Male,1/1/2009,1M,,1335303.89967587
45 to 49,Population,KHM,Female,1/1/2009,0M,370934.44298825,
55 to 59,Population,PRI,Female,1/1/2010,0M,122415.452070001,
30 to 34,Population,ZMB,Male,1/1/2011,0M,,455190.381794542
25 to 29,Population,JAM,Male,1/1/2008,0M,,105961.71215584
40 to 44,Population,SOM,Male,1/1/2013,0M,,279503.875803399
70 to 74,Population,BOL,Male,1/1/2012,0M,,72353.099259222
60 to 64,Population,TWN,Female,1/1/2015,1M,782915.950815291,
80 plus,Population,COM,Male,1/1/2017,0M,,2188.072550535
15 to 19,Population,CRI,Female,1/1/2008,0M,215476.105231009,
20 to 24,Population,TGO,Male,1/1/2011,0M,,272667.499871332
35 to 39,Population,TJK,Male,1/1/2013,0M,,239256.179990131
80 plus,Population,BRA,Male,1/1/2011,1M,,1198083.76354328
55 to 59,Population,USA,Female,1/1/2009,10M,9756110.75048878,
75 to 79,Population,MWI,Female,1/1/2017,0M,65627.781816586,
70 to 74,Population,USA,Female,1/1/2013,6M,5584218.95086101,
50 to 54,Population,TZA,Female,1/1/2015,1M,694768.560007288,
35 to 39,Population,LBR,Male,1/1/2011,0M,,121304.17391235
Under 5,Population,ATG,Male,1/1/2009,0M,,3169.546267061
30 to 34,Population,KHM,Female,1/1/2016,1M,653016.491364463,
10 to 14,Population,UZB,Female,1/1/2016,1M,1342696.87589707,
10 to 14,Population,THA,Female,1/1/2016,2M,2028005.56464349,
65 to 69,Population,SOM,Male,1/1/2009,0M,,63144.072862692
5 to 9,Population,NGA,Male,1/1/2013,14M,,13736066.9519567
15 to 19,Population,TGO,Female,1/1/2008,0M,317388.255280606,
35 to 39,Population,BEN,Female,1/1/2013,0M,281110.464380035,
70 to 74,Population,BRA,Female,1/1/2008,2M,1946836.21487268,
55 to 59,Population,TLS,Female,1/1/2008,0M,13299.907204034,
10 to 14,Population,MHL,Male,1/1/2016,0M,,3097.997570968
75 to 79,Population,LBN,Male,1/1/2009,0M,,27150.562588286
30 to 34,Population,ASM,Female,1/1/2012,0M,1721.423055887,
55 to 59,Population,IND,Female,1/1/2015,24M,23559524.2872029,
15 to 19,Population,NOR,Female,1/1/2013,0M,157927.531721125,
70 to 74,Population,ALB,Male,1/1/2017,0M,,47486.455973344
75 to 79,Population,TKM,Male,1/1/2014,0M,,18826.919965289
20 to 24,Population,LVA,Male,1/1/2009,0M,,86183.104726805
60 to 64,Population,SWE,Female,1/1/2015,0M,280124.638546714,
5 to 9,Population,NPL,Female,1/1/2008,2M,1663711.75488128,
Under 5,Population,JOR,Male,1/1/2009,1M,,529225.065877859
5 to 9,Population,BDI,Male,1/1/2016,1M,,800719.365136233
50 to 54,Population,UKR,Male,1/1/2014,2M,,1588803.66780585
35 to 39,Population,GRL,Male,1/1/2011,0M,,1795.917646735
60 to 64,Population,HRV,Female,1/1/2015,0M,154081.628133852,
20 to 24,Population,CRI,Male,1/1/2011,0M,,209889.796136125
35 to 39,Population,ITA,Female,1/1/2014,2M,2216696.79974359,
70 to 74,Population,BEL,Male,1/1/2013,0M,,194874.076928717
80 plus,Population,MRT,Female,1/1/2010,0M,9759.569281472,
65 to 69,Population,CIV,Male,1/1/2015,0M,,131317.062365217
5 to 9,Population,RWA,Female,1/1/2017,1M,854980.426781998,
50 to 54,Population,IRQ,Female,1/1/2010,1M,506787.533402544,
80 plus,Population,IDN,Male,1/1/2008,1M,,697927.390165737
10 to 14,Population,JAM,Female,1/1/2011,0M,134199.127050645,
35 to 39,Population,LBY,Male,1/1/2009,0M,,262356.930798367
10 to 14,Population,FIN,Female,1/1/2015,0M,143833.417233896,
50 to 54,Population,COG,Female,1/1/2015,0M,74784.694419581,
45 to 49,Population,COM,Male,1/1/2017,0M,,17323.912679926
35 to 39,Population,KIR,Male,1/1/2011,0M,,3021.789725100
75 to 79,Population,COL,Female,1/1/2016,0M,454332.765641158,
75 to 79,Population,OMN,Female,1/1/2015,0M,9581.187917585,
15 to 19,Population,SAU,Female,1/1/2011,1M,1286131.66134117,
50 to 54,Population,HTI,Female,1/1/2014,0M,200975.883724204,
50 to 54,Population,FJI,Male,1/1/2014,0M,,25026.241072610
Under 5,Population,CHN,Female,1/1/2013,33M,32757650.1154723,
20 to 24,Population,ARM,Male,1/1/2008,0M,,149570.286484769
20 to 24,Population,SAU,Male,1/1/2008,2M,,1509692.60808694
5 to 9,Population,ISL,Male,1/1/2008,0M,,10748.117928257
Under 5,Population,GEO,Female,1/1/2011,0M,467949.318491235,
55 to 59,Population,BEL,Male,1/1/2009,0M,,341298.404217367
70 to 74,Population,IDN,Female,1/1/2011,2M,1914019.90470444,
65 to 69,Population,PHL,Male,1/1/2012,1M,,731064.531683403
30 to 34,Population,PAN,Female,1/1/2008,0M,127344.121569933,
15 to 19,Population,MLI,Male,1/1/2008,1M,,737616.311727603
75 to 79,Population,TTO,Female,1/1/2017,0M,14058.235218450,
20 to 24,Population,MLI,Female,1/1/2011,1M,731379.212405993,
25 to 29,Population,FSM,Male,1/1/2017,0M,,4184.565340756
15 to 19,Population,BLZ,Female,1/1/2016,0M,20825.423655613,
50 to 54,Population,PNG,Female,1/1/2014,0M,132964.56638013,
15 to 19,Population,ARM,Female,1/1/2011,0M,118515.741417848,
55 to 59,Population,MYS,Male,1/1/2012,1M,,588841.552453679
Under 5,Population,VEN,Male,1/1/2017,1M,,1445266.02460173
25 to 29,Population,GIN,Female,1/1/2017,1M,507005.673147508,
60 to 64,Population,PSE,Male,1/1/2011,0M,,32165.406232444
20 to 24,Population,NIC,Male,1/1/2013,0M,,305183.702892653
25 to 29,Population,AGO,Female,1/1/2014,1M,1014238.82697212,
Under 5,Population,GBR,Female,1/1/2010,4M,3848763.51690048,
65 to 69,Population,MKD,Female,1/1/2017,0M,57876.093134941,
10 to 14,Population,BEN,Female,1/1/2009,1M,571470.450356478,
10 to 14,Population,BGD,Male,1/1/2016,8M,,7993440.54607306
75 to 79,Population,DJI,Female,1/1/2017,0M,2677.364805106,
45 to 49,Population,IDN,Male,1/1/2008,7M,,6822347.93141157
55 to 59,Population,PSE,Female,1/1/2008,0M,38050.204825335,
80 plus,Population,RWA,Female,1/1/2014,0M,29173.250303153,
55 to 59,Population,MMR,Male,1/1/2010,1M,,851745.431948201
60 to 64,Population,TLS,Male,1/1/2011,0M,,15368.640454724
75 to 79,Population,BTN,Male,1/1/2009,0M,,3306.213149311
20 to 24,Population,PRK,Female,1/1/2008,1M,933116.895914221,
40 to 44,Population,CAN,Male,1/1/2008,1M,,1237624.04448213
75 to 79,Population,TON,Male,1/1/2014,0M,,549.796411859
Under 5,Population,BTN,Female,1/1/2012,0M,43571.385164506,
65 to 69,Population,JPN,Male,1/1/2014,4M,,4472828.53152166
25 to 29,Population,SSD,Male,1/1/2015,0M,,302147.521088349
5 to 9,Population,BLZ,Male,1/1/2008,0M,,19462.718744321
80 plus,Population,CHE,Female,1/1/2017,0M,271766.153955395,
75 to 79,Population,DMA,Male,1/1/2017,0M,,784.162873783
40 to 44,Population,NAM,Male,1/1/2017,0M,,59567.723189032
75 to 79,Population,UGA,Female,1/1/2016,0M,96025.654646127,
40 to 44,Population,DEU,Female,1/1/2016,3M,2562620.51279049,
55 to 59,Population,BRB,Male,1/1/2014,0M,,9244.207989258
40 to 44,Population,SYR,Male,1/1/2009,1M,,540218.127624708
30 to 34,Population,KIR,Male,1/1/2010,0M,,3406.485947842
Under 5,Population,BGR,Female,1/1/2011,0M,173456.830063345,
40 to 44,Population,MAR,Female,1/1/2014,1M,1110371.41162592,
50 to 54,Population,TUR,Female,1/1/2014,2M,2217574.668053,
55 to 59,Population,VCT,Female,1/1/2009,0M,2073.890881089,
40 to 44,Population,BFA,Male,1/1/2015,0M,,371715.662327499
40 to 44,Population,GTM,Female,1/1/2017,0M,474392.988635418,
75 to 79,Population,MRT,Male,1/1/2008,0M,,10986.254150826
60 to 64,Population,GHA,Male,1/1/2016,0M,,268325.986579236
70 to 74,Population,YEM,Male,1/1/2014,0M,,113495.339388913
15 to 19,Population,FRA,Female,1/1/2017,2M,1977194.3030044,
70 to 74,Population,VCT,Female,1/1/2013,0M,1218.641192857,
55 to 59,Population,GUM,Male,1/1/2013,0M,,4175.865190278
45 to 49,Population,CHE,Female,1/1/2017,0M,316496.0979485,
25 to 29,Population,MLI,Female,1/1/2010,1M,585432.350334757,
75 to 79,Population,CAN,Female,1/1/2011,1M,505618.076953552,
55 to 59,Population,ERI,Male,1/1/2014,0M,,45757.984203809
30 to 34,Population,MNP,Male,1/1/2013,0M,,1374.674320233
5 to 9,Population,TGO,Male,1/1/2016,1M,,525511.796072936
15 to 19,Population,PRK,Male,1/1/2011,1M,,1090440.74028813
25 to 29,Population,BWA,Female,1/1/2015,0M,110240.92380675,
80 plus,Population,ETH,Female,1/1/2016,0M,181779.3809233,
40 to 44,Population,ZWE,Male,1/1/2012,0M,,272652.542834984
15 to 19,Population,ISL,Female,1/1/2016,0M,10884.719505467,
15 to 19,Population,BRN,Male,1/1/2015,0M,,19290.481263302
35 to 39,Population,CZE,Male,1/1/2012,0M,,481288.674453309
20 to 24,Population,NGA,Male,1/1/2015,8M,,8048724.21707205
60 to 64,Population,GEO,Female,1/1/2017,0M,438559.801503621,
Under 5,Population,DOM,Male,1/1/2013,0M,,480273.297740543
50 to 54,Population,BMU,Male,1/1/2017,0M,,2631.554412941
30 to 34,Population,LBR,Male,1/1/2010,0M,,130382.578700689
35 to 39,Population,ZMB,Male,1/1/2010,0M,,355813.102927892
40 to 44,Population,BRA,Male,1/1/2010,6M,,6494619.53475483
45 to 49,Population,ETH,Female,1/1/2016,1M,1462186.35975719,
Under 5,Population,GNQ,Male,1/1/2010,0M,,93094.600945511
Under 5,Population,QAT,Female,1/1/2010,0M,48497.052265583,
70 to 74,Population,SGP,Male,1/1/2014,0M,,51663.736693526
15 to 19,Population,JAM,Female,1/1/2010,0M,139172.286201645,
5 to 9,Population,CHE,Female,1/1/2014,0M,197619.57793577,
30 to 34,Population,BHS,Female,1/1/2012,0M,14462.349952420,
25 to 29,Population,TGO,Male,1/1/2010,0M,,224895.980887466
15 to 19,Population,NPL,Male,1/1/2016,2M,,1626933.83778786
10 to 14,Population,MUS,Male,1/1/2015,0M,,46736.307875937
10 to 14,Population,MNE,Female,1/1/2009,0M,21136.352153682,
30 to 34,Population,LUX,Female,1/1/2012,0M,19880.463187035,
50 to 54,Population,MMR,Male,1/1/2011,1M,,1109112.53510325
Under 5,Population,PSE,Male,1/1/2017,0M,,333737.714359266
Under 5,Population,POL,Male,1/1/2014,1M,,1016369.74963769
70 to 74,Population,MNG,Male,1/1/2013,0M,,14413.702324132
20 to 24,Population,BDI,Male,1/1/2011,0M,,431849.36088272
70 to 74,Population,GUM,Male,1/1/2009,0M,,1386.093103402
75 to 79,Population,SDN,Male,1/1/2014,0M,,120468.305236575
80 plus,Population,DNK,Male,1/1/2016,0M,,92675.634038503
35 to 39,Population,GNB,Male,1/1/2014,0M,,40957.456222690
65 to 69,Population,TLS,Male,1/1/2010,0M,,12006.079521315
20 to 24,Population,LAO,Male,1/1/2014,0M,,340335.107745839
15 to 19,Population,SVK,Female,1/1/2015,0M,140801.231427361,
25 to 29,Population,CRI,Male,1/1/2010,0M,,187153.991782361
5 to 9,Population,NIC,Male,1/1/2015,0M,,346986.477387877
65 to 69,Population,SYR,Male,1/1/2013,0M,,152268.482863773
Under 5,Population,HND,Female,1/1/2011,1M,503392.479656547,
70 to 74,Population,MDG,Male,1/1/2012,0M,,65441.453016006
40 to 44,Population,PAK,Female,1/1/2017,6M,5552470.07077627,
70 to 74,Population,WSM,Male,1/1/2014,0M,,1047.695307407
Under 5,Population,LBN,Female,1/1/2012,0M,393840.082272789,
15 to 19,Population,BDI,Female,1/1/2008,1M,513428.39859789,
35 to 39,Population,MNE,Female,1/1/2013,0M,22153.510460241,
15 to 19,Population,MNP,Male,1/1/2009,0M,,2263.677332694
75 to 79,Population,IDN,Female,1/1/2010,1M,1205600.72954479,
15 to 19,Population,CHL,Female,1/1/2012,1M,688399.924079966,
5 to 9,Population,SUR,Male,1/1/2012,0M,,25583.679632658
Under 5,Population,BLR,Female,1/1/2009,0M,245337.851781657,
65 to 69,Population,MMR,Female,1/1/2008,1M,502175.086908112,
75 to 79,Population,ATG,Female,1/1/2012,0M,663.423696643,
70 to 74,Population,RUS,Male,1/1/2014,1M,,1387454.29367929
60 to 64,Population,VEN,Male,1/1/2011,0M,,413275.763584866
65 to 69,Population,GNQ,Male,1/1/2017,0M,,4751.043408827
55 to 59,Population,VEN,Female,1/1/2008,1M,509577.976592416,
30 to 34,Population,GRL,Male,1/1/2010,0M,,1788.823402182
25 to 29,Population,GAB,Male,1/1/2009,0M,,59283.700002592
20 to 24,Population,VUT,Female,1/1/2014,0M,12777.992598096,
75 to 79,Population,JOR,Female,1/1/2012,0M,23231.952953286,
70 to 74,Population,KOR,Male,1/1/2016,1M,,800988.992828127
45 to 49,Population,DNK,Male,1/1/2016,0M,,203647.713238875
Under 5,Population,TLS,Male,1/1/2017,0M,,89044.332133807
30 to 34,Population,BHR,Female,1/1/2015,0M,61461.832027993,
25 to 29,Population,CYP,Female,1/1/2017,0M,53646.384111523,
35 to 39,Population,ISR,Male,1/1/2015,0M,,295795.538853924
Under 5,Population,EGY,Female,1/1/2011,5M,5072320.02690682,
5 to 9,Population,CRI,Male,1/1/2016,0M,,183724.615388336
60 to 64,Population,IRQ,Male,1/1/2008,0M,,281675.911450095
65 to 69,Population,PRI,Male,1/1/2008,0M,,75229.136380982
55 to 59,Population,ROU,Female,1/1/2012,1M,767402.993654943,
70 to 74,Population,AND,Female,1/1/2016,0M,1264.399086669,
65 to 69,Population,GRC,Male,1/1/2015,0M,,273515.113169775
50 to 54,Population,CHN,Male,1/1/2012,42M,,42365271.9247545
35 to 39,Population,SLB,Female,1/1/2015,0M,19579.875204592,
30 to 34,Population,DZA,Female,1/1/2014,2M,1769686.13147532,
25 to 29,Population,NLD,Female,1/1/2014,1M,515417.885990706,
55 to 59,Population,IRQ,Female,1/1/2011,0M,416508.881330457,
10 to 14,Population,ARM,Female,1/1/2010,0M,91376.143903999,
5 to 9,Population,SEN,Female,1/1/2009,1M,831454.198195142,
10 to 14,Population,KGZ,Male,1/1/2012,0M,,268786.076931161
50 to 54,Population,PRI,Female,1/1/2011,0M,130994.623610872,
55 to 59,Population,MNG,Male,1/1/2009,0M,,31240.020178426
10 to 14,Population,SAU,Female,1/1/2010,1M,1232510.36056515,
65 to 69,Population,QAT,Female,1/1/2017,0M,4454.357018282,
30 to 34,Population,SLV,Male,1/1/2012,0M,,189767.736870022
40 to 44,Population,MRT,Female,1/1/2011,0M,77908.112545647,
30 to 34,Population,MOZ,Male,1/1/2015,1M,,776099.967247759
5 to 9,Population,MLI,Female,1/1/2016,2M,1511549.06111351,
65 to 69,Population,PSE,Male,1/1/2010,0M,,20211.232438638
10 to 14,Population,MKD,Male,1/1/2008,0M,,75635.072192490
20 to 24,Population,POL,Male,1/1/2014,1M,,1306097.99790943
10 to 14,Population,GNB,Male,1/1/2016,0M,,111672.783264473
20 to 24,Population,GNQ,Male,1/1/2010,0M,,54298.492070540
75 to 79,Population,LVA,Female,1/1/2012,0M,53733.256828724,
45 to 49,Population,GHA,Male,1/1/2014,1M,,525901.940734259
25 to 29,Population,KAZ,Female,1/1/2015,1M,824235.69330926,
Under 5,Population,BDI,Male,1/1/2011,1M,,801048.566067609
30 to 34,Population,DMA,Male,1/1/2010,0M,,2196.540186733
55 to 59,Population,AND,Female,1/1/2014,0M,2392.662833191,
55 to 59,Population,ARM,Female,1/1/2017,0M,117054.960827883,
75 to 79,Population,GRL,Male,1/1/2017,0M,,396.554966058
40 to 44,Population,ARG,Male,1/1/2015,1M,,1362480.18737489
80 plus,Population,BEN,Male,1/1/2012,0M,,18340.726468161
25 to 29,Population,BOL,Female,1/1/2009,0M,409952.739039648,
5 to 9,Population,GEO,Female,1/1/2016,0M,465737.611046708,
50 to 54,Population,FRA,Female,1/1/2010,2M,2167247.86076167,
55 to 59,Population,SGP,Male,1/1/2016,0M,,167203.230289362
80 plus,Population,ZAF,Male,1/1/2008,0M,,149720.671095178
60 to 64,Population,CRI,Male,1/1/2017,0M,,86962.199449299
80 plus,Population,LSO,Male,1/1/2015,0M,,3260.814030001
25 to 29,Population,GBR,Female,1/1/2011,4M,4391526.08475738,
20 to 24,Population,TLS,Male,1/1/2017,0M,,60547.266416754
10 to 14,Population,TUN,Female,1/1/2015,0M,397575.964392761,
20 to 24,Population,PSE,Male,1/1/2017,0M,,247737.381730807
60 to 64,Population,DNK,Male,1/1/2014,0M,,167124.488911107
Under 5,Population,NGA,Male,1/1/2015,17M,,16630878.5471174
50 to 54,Population,NIC,Female,1/1/2012,0M,115170.98171495,
50 to 54,Population,SDN,Male,1/1/2016,1M,,582755.426154858
30 to 34,Population,ISL,Female,1/1/2014,0M,11443.560699098,
20 to 24,Population,HND,Female,1/1/2011,0M,425749.194986937,
40 to 44,Population,JPN,Male,1/1/2016,5M,,5025163.28673694
30 to 34,Population,BIH,Female,1/1/2013,0M,127556.496568553,
5 to 9,Population,CUB,Male,1/1/2008,0M,,370798.700161485
55 to 59,Population,YEM,Male,1/1/2016,0M,,288533.067146481
80 plus,Population,TJK,Female,1/1/2012,0M,38233.982532715,
60 to 64,Population,ETH,Female,1/1/2014,1M,628980.430408695,
70 to 74,Population,MDV,Male,1/1/2015,0M,,2350.871597598
25 to 29,Population,GEO,Female,1/1/2010,0M,487326.218544757,
Under 5,Population,PRK,Female,1/1/2008,1M,843448.141654267,
5 to 9,Population,IRN,Female,1/1/2009,3M,2785794.58983886,
50 to 54,Population,FSM,Female,1/1/2008,0M,2111.418400689,
20 to 24,Population,DOM,Male,1/1/2013,0M,,477832.063313478
75 to 79,Population,SLE,Female,1/1/2015,0M,24855.482869413,
50 to 54,Population,GIN,Male,1/1/2008,0M,,131981.242364146
50 to 54,Population,TON,Male,1/1/2016,0M,,2196.724386571
65 to 69,Population,PRY,Male,1/1/2008,0M,,51559.639503821
10 to 14,Population,SVN,Male,1/1/2015,0M,,47078.412706442
20 to 24,Population,BLR,Female,1/1/2009,0M,390499.676923272,
35 to 39,Population,GMB,Female,1/1/2015,0M,57268.554737728,
40 to 44,Population,ASM,Male,1/1/2013,0M,,1761.263166322
55 to 59,Population,KOR,Male,1/1/2014,2M,,1868608.91201824
35 to 39,Population,TTO,Female,1/1/2011,0M,46796.276973909,
70 to 74,Population,ECU,Female,1/1/2015,0M,152426.544325301,
65 to 69,Population,MAR,Female,1/1/2016,0M,374928.732682985,
20 to 24,Population,QAT,Female,1/1/2010,0M,38854.770766488,
30 to 34,Population,NPL,Male,1/1/2014,1M,,874397.838962348
15 to 19,Population,PHL,Female,1/1/2013,5M,4946484.30280876,
30 to 34,Population,COM,Female,1/1/2008,0M,21929.507230870,
35 to 39,Population,MLT,Male,1/1/2015,0M,,16084.694799276
65 to 69,Population,NOR,Male,1/1/2012,0M,,123516.218686976
45 to 49,Population,LSO,Male,1/1/2015,0M,,34114.984749199
60 to 64,Population,TGO,Male,1/1/2017,0M,,58133.243739227
15 to 19,Population,BGR,Male,1/1/2008,0M,,228218.465438287
55 to 59,Population,RUS,Male,1/1/2016,5M,,4960840.94930091
30 to 34,Population,MDA,Male,1/1/2015,0M,,165932.825970266
60 to 64,Population,HUN,Male,1/1/2015,0M,,320648.285348854
5 to 9,Population,MEX,Male,1/1/2009,6M,,5849793.23454051
75 to 79,Population,TUR,Female,1/1/2016,1M,693045.205204775,
30 to 34,Population,EST,Male,1/1/2011,0M,,46951.357762868
70 to 74,Population,BRB,Male,1/1/2016,0M,,4649.842753185
20 to 24,Population,LBN,Female,1/1/2012,0M,346405.737449104,
15 to 19,Population,HND,Male,1/1/2008,0M,,436244.488378456
65 to 69,Population,FSM,Male,1/1/2011,0M,,546.552578154
45 to 49,Population,PAN,Male,1/1/2017,0M,,118176.539262258
70 to 74,Population,KWT,Male,1/1/2013,0M,,14937.881168679
40 to 44,Population,COD,Female,1/1/2009,1M,1394532.83358732,
25 to 29,Population,CMR,Male,1/1/2015,1M,,1023437.36493475
30 to 34,Population,PHL,Female,1/1/2009,3M,3312415.82134216,
25 to 29,Population,MKD,Female,1/1/2011,0M,84437.653118625,
5 to 9,Population,PAN,Male,1/1/2014,0M,,178242.34062026
5 to 9,Population,GHA,Male,1/1/2017,2M,,1831158.64687876
70 to 74,Population,ZMB,Male,1/1/2017,0M,,53647.117684290
65 to 69,Population,COD,Female,1/1/2013,0M,429032.973707774,
15 to 19,Population,EGY,Male,1/1/2008,4M,,4377318.80005986
80 plus,Population,PAN,Male,1/1/2017,0M,,34593.074453911
70 to 74,Population,ERI,Male,1/1/2016,0M,,11599.232726304
70 to 74,Population,ZAF,Female,1/1/2011,0M,450598.977352889,
65 to 69,Population,NER,Male,1/1/2013,0M,,93410.603836018
15 to 19,Population,DZA,Female,1/1/2016,2M,1501603.49246543,
20 to 24,Population,BTN,Female,1/1/2012,0M,45955.221765505,
35 to 39,Population,MWI,Female,1/1/2011,0M,360636.496045021,
Under 5,Population,LAO,Male,1/1/2014,0M,,406812.232829248
15 to 19,Population,BIH,Female,1/1/2009,0M,129084.967493842,
55 to 59,Population,WSM,Male,1/1/2016,0M,,3643.909978704
55 to 59,Population,SAU,Female,1/1/2017,0M,386601.981514691,
40 to 44,Population,AFG,Male,1/1/2010,1M,,649277.812129029
50 to 54,Population,JAM,Female,1/1/2017,0M,73888.061127720,
45 to 49,Population,BEN,Male,1/1/2012,0M,,151010.519978433
35 to 39,Population,DJI,Female,1/1/2011,0M,32170.196607532,
30 to 34,Population,VIR,Female,1/1/2015,0M,3405.313337575,
5 to 9,Population,GUY,Male,1/1/2013,0M,,35495.608964051
65 to 69,Population,GIN,Female,1/1/2011,0M,66113.194223634,
50 to 54,Population,SUR,Female,1/1/2015,0M,17374.957566396,
45 to 49,Population,ZAF,Male,1/1/2008,1M,,1158967.1737537
20 to 24,Population,EGY,Female,1/1/2011,4M,4378821.30425593,
30 to 34,Population,ALB,Male,1/1/2011,0M,,81735.370169781
75 to 79,Population,SRB,Female,1/1/2008,0M,183075.238759364,
55 to 59,Population,KWT,Male,1/1/2009,0M,,38473.178536838
15 to 19,Population,BMU,Male,1/1/2010,0M,,1716.725219922
45 to 49,Population,TJK,Female,1/1/2012,0M,196472.278567898,
40 to 44,Population,SRB,Male,1/1/2011,0M,,287289.180818365
50 to 54,Population,PRY,Female,1/1/2011,0M,126855.487000884,
25 to 29,Population,GRD,Male,1/1/2015,0M,,4771.717903823
50 to 54,Population,UGA,Female,1/1/2014,0M,403210.817814043,
75 to 79,Population,LBR,Male,1/1/2017,0M,,10974.868924150
30 to 34,Population,SOM,Female,1/1/2012,0M,487004.216645737,
60 to 64,Population,MLI,Female,1/1/2017,0M,151311.143075527,
75 to 79,Population,KIR,Male,1/1/2017,0M,,242.204252315
60 to 64,Population,LBY,Female,1/1/2012,0M,59853.356995743,
25 to 29,Population,MYS,Female,1/1/2013,1M,1318751.45876484,
20 to 24,Population,BGR,Female,1/1/2011,0M,233172.351932445,
40 to 44,Population,NER,Male,1/1/2009,0M,,304552.363229643
65 to 69,Population,ASM,Male,1/1/2009,0M,,515.672357217
60 to 64,Population,CYP,Female,1/1/2010,0M,26762.264461358,
65 to 69,Population,DEU,Female,1/1/2014,2M,2038609.22683412,
30 to 34,Population,SWZ,Female,1/1/2011,0M,39073.268678474,
10 to 14,Population,GBR,Male,1/1/2008,4M,,3975825.59507869
30 to 34,Population,IDN,Female,1/1/2017,10M,10192666.6104393,
Under 5,Population,VUT,Female,1/1/2014,0M,18963.824604989,
5 to 9,Population,CHN,Female,1/1/2015,33M,33265062.086978,
80 plus,Population,GHA,Male,1/1/2014,0M,,52462.477258026
45 to 49,Population,VIR,Female,1/1/2016,0M,3902.885587090,
10 to 14,Population,COD,Female,1/1/2011,4M,4211752.96582439,
5 to 9,Population,FRA,Female,1/1/2015,2M,1983764.22989416,
80 plus,Population,VIR,Female,1/1/2016,0M,1607.053586744,
70 to 74,Population,AZE,Male,1/1/2016,0M,,40827.536089837
25 to 29,Population,NER,Female,1/1/2008,1M,536106.558145881,
20 to 24,Population,NOR,Female,1/1/2017,0M,165978.994105422,
75 to 79,Population,SOM,Male,1/1/2017,0M,,26031.240646559
40 to 44,Population,MLT,Male,1/1/2016,0M,,15120.897989735
65 to 69,Population,TUN,Female,1/1/2016,0M,168605.541909055,
55 to 59,Population,COM,Male,1/1/2009,0M,,7056.263445545
65 to 69,Population,TTO,Female,1/1/2009,0M,20939.291410235,
60 to 64,Population,SWZ,Female,1/1/2009,0M,10740.394686516,
45 to 49,Population,EST,Male,1/1/2013,0M,,41715.265526386
40 to 44,Population,MWI,Female,1/1/2013,0M,288941.707427892,
75 to 79,Population,ATG,Male,1/1/2010,0M,,516.304335585
25 to 29,Population,TON,Male,1/1/2015,0M,,3837.156097652
Under 5,Population,IRQ,Female,1/1/2013,3M,2709965.90637004,
70 to 74,Population,ARE,Female,1/1/2016,0M,6427.029979768,
30 to 34,Population,BHS,Male,1/1/2010,0M,,13470.757228577
5 to 9,Population,PER,Male,1/1/2011,1M,,1428972.25122198
40 to 44,Population,GMB,Female,1/1/2016,0M,44631.435428557,
80 plus,Population,SWZ,Female,1/1/2013,0M,2625.285810977,
10 to 14,Population,MAR,Female,1/1/2015,2M,1551398.54765905,
75 to 79,Population,JOR,Male,1/1/2010,0M,,20062.193026799
50 to 54,Population,CHN,Female,1/1/2010,39M,39426689.0549718,
35 to 39,Population,SRB,Male,1/1/2013,0M,,311077.847016873
10 to 14,Population,GIN,Female,1/1/2013,1M,675363.59965419,
30 to 34,Population,SLV,Female,1/1/2010,0M,237287.946104141,
25 to 29,Population,SDN,Male,1/1/2015,1M,,1434443.43745803
45 to 49,Population,SVK,Female,1/1/2014,0M,177969.367786921,
